text,urgent
"quiero desaparecer",1
"no quiero seguir viviendo",1
"esta noche quiero acabar con todo",1
"me quiero morir",1
"no aguanto más",1
"quiero hacerme daño",1
"cada día pienso más en desaparecer",1
"ya no le veo sentido a nada",1
"ojalá dormirme y no despertar",1
"no puedo más con mi vida",1
"he pensado en quitarme la vida",1
"nadie me echaría de menos",1
"quiero terminar con todo",1
"me siento completamente vacía",1
"ya no quiero seguir aquí",1
"todo estaría mejor sin mí",1
"quiero dejar de existir",1
"no tengo fuerzas para continuar",1
"me siento rota por dentro",1
"quiero desaparecer para siempre",1
"estoy cansada de vivir",1
"no quiero levantarme nunca más",1
"pienso en hacerme daño",1
"me odio muchísimo",1
"cada día es peor",1
"siento que no valgo nada",1
"nadie entiende cómo me siento",1
"he pensado en tomarme muchas pastillas",1
"quiero acabar conmigo",1
"ya no quiero intentarlo más",1
"me da miedo lo que pueda hacerme",1
"no quiero seguir sufriendo",1
"me siento atrapada",1
"quiero desaparecer de la vida de todos",1
"todo me supera",1
"ya no puedo soportarlo",1
"he pensado en cortarme",1
"quiero hacer desaparecer el dolor",1
"me siento completamente sola",1
"no encuentro razones para seguir",1
"estoy perdiendo el control",1
"me siento inútil",1
"no merezco estar aquí",1
"quiero dejar de sentir",1
"pienso demasiado en morir",1
"me gustaría no existir",1
"todo duele demasiado",1
"ya no sé qué hacer conmigo",1
"me cuesta seguir adelante",1
"he llegado a mi límite",1
"no puedo respirar del agobio",1
"cada noche pienso en desaparecer",1
"me estoy hundiendo",1
"nadie notaría si desaparezco",1
"me siento completamente derrotada",1
"quiero dejar de luchar",1
"siento que sobro",1
"no puedo seguir fingiendo",1
"quiero escapar para siempre",1
"todo sería más fácil si muriera",1
"me siento rota y cansada",1
"ya no quiero pedir ayuda",1
"quiero desaparecer sin decir nada",1
"no veo salida",1
"cada día tengo menos ganas de vivir",1
"no creo aguantar mucho más",1
"me estoy haciendo daño",1
"me siento vacía todo el tiempo",1
"ya no quiero continuar",1
"quiero rendirme",1
"todo me da igual ya",1
"pienso en desaparecer constantemente",1
"me siento completamente hundida",1
"no sé cuánto más soportaré",1
"estoy cansada de sufrir",1
"siento que nadie me necesita",1
"no encuentro paz nunca",1
"cada vez estoy peor",1
"me siento rota mentalmente",1
"he pensado en no volver mañana",1
